year,total,comp,se.comp,coef,se.coef
2003,0.357944637720097,0.438397947983598,0.00479785986223068,-0.0804533102634457,0.00479955924871493
2004,0.367025328186804,0.461270259716177,0.00429805410458161,-0.0942449315293968,0.00512312000506981
2005,0.381943997758441,0.449023875365696,0.00412550890010349,-0.0670798776072152,0.00441672035510941
2006,0.448751083904636,0.460097875626113,0.00410125431918275,-0.011346791721816,0.00434732745783672
2007,0.495759916613561,0.475289103047726,0.00415810018115886,0.0204708135656365,0.00417950434203604
2008,0.52217539356592,0.485676525295942,0.0043834569255605,0.036498868270117,0.00420846166841452
2009,0.541728859767596,0.484726125590328,0.00419619706773742,0.0570027341774592,0.00431944191582491
2010,0.565075117694974,0.49139154496079,0.00433362122408065,0.0736835727342708,0.00392281720907658
2011,0.570835029093245,0.519070433140957,0.00393965040937156,0.0517645959518872,0.00370449347005511
2012,0.603541773601064,0.512552577261751,0.00331450238664078,0.0909891963392983,0.00407289238426008
2013,0.593543215703918,0.511127087144608,0.00369184235688504,0.0824161285589541,0.00358280072888954
2014,0.627183677590242,0.503428868645186,0.00335243425744128,0.123754808945041,0.00437108508031051
