total.effect,se.te,lb.te.point,ub.te.point,lb.te,ub.te,composition.effect,se.ce,lb.ce.point,ub.ce.point,lb.ce,ub.ce,structure.effect,se.se,lb.se.point,ub.se.point,lb.se,ub.se
0.168083539562453,0.00630799956042916,0.155720087609518,0.180446991515389,0.152725890925481,0.183441188199425,0.0748732622218316,0.00392996907452012,0.0671706643754159,0.0825758600682472,0.0648796662125373,0.0848668582311258,0.0932102773406216,0.00654114533896335,0.0803898680586114,0.106030686622632,0.0776811853069867,0.108739369374256
0.208366073465282,0.00593666517321964,0.196730423537498,0.220001723393065,0.193912486883318,0.222819660047246,0.0826537471107072,0.00369973531176066,0.0754023991473252,0.0899050950740891,0.0732456170857727,0.0920618771356416,0.125712326354575,0.00611625123777026,0.113724694208146,0.137699958501003,0.111191959744402,0.140232692964747
0.278527076168559,0.0064611369677482,0.265863480412592,0.291190671924525,0.262796594516579,0.294257557820538,0.122630935665248,0.00414085847815393,0.114515002182989,0.130746869147507,0.112101064824628,0.133160806505869,0.15589614050331,0.00635359649876622,0.143443320193429,0.168348960813192,0.14081230125788,0.170979979748741
0.349298234902257,0.00737226421982404,0.334848862546889,0.363747607257626,0.331349494978871,0.367246974825643,0.165411467182494,0.00479585216569031,0.156011769662562,0.174811164702425,0.153215999952243,0.177606934412744,0.183886767719764,0.00714140921615566,0.169889862857236,0.197883672582291,0.166932611341837,0.20084092409769
0.428955330040667,0.00830512079790754,0.412677592389514,0.445233067691821,0.408735428964265,0.44917523111707,0.219908183431692,0.00567707104039055,0.208781328654851,0.231035038208533,0.205471847313537,0.234344519549847,0.209047146608975,0.0080066532672525,0.19335439456846,0.22473989864949,0.190038846223423,0.228055446994527
0.513845898065273,0.00895034734763627,0.496303539614782,0.531388256515763,0.492055108699001,0.535636687431545,0.288841813393017,0.00674315446585701,0.275625473497747,0.302058153288287,0.271694512668196,0.305989114117838,0.225004084672256,0.00878292579284566,0.207789866439391,0.242218302905121,0.204152864298165,0.245855305046348
0.595204499384789,0.00940846770972291,0.576764241524024,0.613644757245554,0.572298356175041,0.618110642594537,0.367603799554487,0.00799316274599464,0.35193748844977,0.383270110659203,0.347277828076005,0.387929771032968,0.227600699830303,0.0100609961816749,0.207881509665625,0.247319889994981,0.203715259657521,0.251486140003084
0.66384086598387,0.0100105727583682,0.64422050391285,0.683461228054889,0.639468819409504,0.688212912558235,0.450738494763435,0.00980210352040371,0.431526724890711,0.46995026463616,0.425812532048027,0.475664457478844,0.213102371220434,0.0120372388149902,0.189509816669746,0.236694925771122,0.184525206258916,0.241679536181953
0.696067634548417,0.01316573954412,0.670263259212107,0.721872009884727,0.664013922428196,0.728121346668638,0.514319120534332,0.0161164355367059,0.482731487323227,0.545906753745437,0.473336318173899,0.555301922894765,0.181748514014085,0.0174748494664897,0.147498438424506,0.215998589603664,0.140262118042636,0.223234909985534
