total.effect,se.te,lb.te.point,ub.te.point,lb.te,ub.te,composition.effect,se.ce,lb.ce.point,ub.ce.point,lb.ce,ub.ce,structure.effect,se.se,lb.se.point,ub.se.point,lb.se,ub.se
0.180560010697423,0.00770441749220473,0.165459629890841,0.195660391504004,0.16280576359537,0.198314257799475,0.0865828655766054,0.00406996027192163,0.0786058900251302,0.0945598411280807,0.0775066875892728,0.095659043563938,0.0939771451208173,0.0073726927559255,0.079526932850124,0.108427357391511,0.0760563609524189,0.111897929289216
0.239916493111299,0.00852967220730985,0.223198642785039,0.256634343437558,0.220260508966966,0.259572477255631,0.0909202398834865,0.00417741894756422,0.0827326491979254,0.0991078305690476,0.0816044246512541,0.100236055115719,0.148996253227812,0.00885031032691064,0.131649963735064,0.16634254272056,0.127483828060706,0.170508678394918
0.330576858204879,0.0100436212820941,0.310891722217614,0.350261994192143,0.307432092981271,0.353721623428486,0.125685200716211,0.00492301672113335,0.116036265247501,0.135334136184921,0.114706671932065,0.136663729500357,0.204891657488667,0.0105107694423518,0.184290927931854,0.225492387045481,0.179343158879554,0.230440156097781
0.420626959497029,0.0109088733694009,0.399245960581095,0.442007958412963,0.395488286313585,0.445765632680473,0.164946489066745,0.00567413794389575,0.153825383053398,0.176067595080093,0.152292929212914,0.177600048920577,0.255680470430284,0.0114833210335119,0.233173574781689,0.278187366078878,0.227767993321753,0.283592947538814
0.507678206137925,0.011773946056883,0.484601695910517,0.530754716365333,0.480546038407964,0.534810373867885,0.207843676195995,0.00648181397792817,0.195139554244768,0.220547798147223,0.193388965728593,0.222298386663397,0.29983452994193,0.012393026916555,0.275544643526046,0.324124416357813,0.269710833225254,0.329958226658606
0.587513276320338,0.0119633274549384,0.5640655853734,0.610960967267277,0.559944693489429,0.615081859151247,0.26238810095502,0.00734285432417248,0.247996370935918,0.276779830974122,0.246013235273646,0.278762966636394,0.325125175365318,0.0126093667755318,0.30041127061742,0.349839080113216,0.294475621943624,0.355774728787013
0.654173759140883,0.0119823496802199,0.630688785317487,0.677658732964279,0.626561341031263,0.681786177250503,0.324474229005402,0.00851601650736374,0.307783143359221,0.341165314651584,0.305483163638712,0.343465294372092,0.329699530135481,0.012868561468951,0.304477613123497,0.354921447147464,0.298419952879601,0.360979107391361
0.696457986774103,0.0120006752712417,0.672937095452309,0.719978878095898,0.668803338726708,0.724112634821499,0.400877325266708,0.010790200178516,0.379728921530839,0.422025729002577,0.376814737232422,0.424939913300993,0.295580661507396,0.013788410653815,0.26855587322187,0.322605449792921,0.262065209347306,0.329096113667486
0.707671762475333,0.0146385051023477,0.678980819687225,0.73636270526344,0.67393843519203,0.741405089758635,0.515487902975783,0.0168931741386499,0.482377890079466,0.5485979158721,0.477815433219463,0.553160372732103,0.19218385949955,0.0188484319200723,0.155241611771153,0.229126107227947,0.146369027451803,0.237998691547297
