V1,V2,V3
0.217303142122188,0.112575644764331,0.104727497357857
0.214277448638232,0.0887038550836339,0.125573593554598
0.221461811723998,0.0799680460610222,0.141493765662976
0.234832460296045,0.0790672997221869,0.155765160573858
0.249562676292368,0.0824397254631961,0.167122950829172
0.265572247787951,0.0882012928786899,0.177370954909261
0.283817803716791,0.0950397389142399,0.188778064802551
0.312284835589687,0.108451133267964,0.203833702321723
0.36176163907202,0.137294276768326,0.224467362303693
0.00279398833901063,0.00162443745522204,0.00226480298108881
0.00254919808595711,0.00166265607003426,0.00200781598524818
0.00242370509960223,0.00169422612003473,0.00186490069463374
0.00224150547390666,0.00167647603927174,0.00174500146627287
0.00207569226438479,0.00167805995590796,0.00165373384617622
0.00197075759180931,0.00168695109658299,0.00165970769667792
0.00195369398053069,0.00171616457811108,0.00174706044837514
0.00220131584683537,0.00199020778073761,0.00206151090817467
0.00274398749853031,0.00244643749425064,0.00279718273095747
0.211827025604502,0.109391805856958,0.100288565082844
0.209281112200298,0.0854451090676898,0.121638346535928
0.216711437019632,0.076647423884087,0.13783862746675
0.230439190296038,0.0757814670642699,0.152345020546994
0.245494394211185,0.0791507883857177,0.163881692050652
0.261709633885746,0.0848949294857069,0.174117987598908
0.279988633878138,0.0916761181495988,0.185353889244921
0.307970335811293,0.104550397695967,0.199793215187964
0.356383522400872,0.132499347389167,0.218984984892839
0.222779258639874,0.115759483671704,0.10916642963287
0.219273785076166,0.0919626010995779,0.129508840573268
0.226212186428365,0.0832886682379573,0.145148903859202
0.239225730296051,0.0823531323801038,0.159185300600722
0.253630958373551,0.0857286625406746,0.170364209607692
0.269434861690156,0.0915076562716729,0.180623922219613
0.287646973555444,0.098403359678881,0.192202240360181
0.316599335368082,0.112351868839961,0.207874189455482
0.367139755743167,0.142089206147486,0.229949739714548
0.210868283063358,0.108606435995007,0.099646984196731
0.208406368159069,0.084641261579442,0.121069565776752
0.215879755242821,0.075828313163801,0.137310332224221
0.229670029371479,0.074970938009245,0.151850690754801
0.244782131225544,0.0783394935515081,0.163413216852021
0.261033378686263,0.0840793360348273,0.173647820108131
0.27931823396796,0.0908464008013164,0.184858976177462
0.307214965747865,0.10358818815999,0.199209223553265
0.355441937387622,0.131316563607029,0.218192589708741
0.223738001181018,0.116544853533656,0.109808010518982
0.220148529117394,0.0927664485878258,0.130077621332444
0.227043868205176,0.0841077789582433,0.145677199101731
0.239994891220611,0.0831636614351287,0.159679630392915
0.254343221359191,0.0865399573748841,0.170832684806323
0.270111116889639,0.0923232497225525,0.18109408971039
0.288317373465622,0.0992330770271634,0.19269715342764
0.31735470543151,0.113314078375939,0.208458181090181
0.368081340756418,0.143271989929623,0.230742134898646
