year,total,comp,se.comp,coef,se.coef
2003,0.254361037921015,0.246467210823071,0.0247489201585828,0.00789382709795186,0.0266654993853662
2004,0.265914761017656,0.252010459781354,0.0238721798167144,0.0139043012363128,0.0242801786203941
2005,0.269985371624216,0.266127957756462,0.023925537066177,0.00385741386774095,0.0258044108045634
2006,0.343956010101407,0.329222775310945,0.0296507050560094,0.0147332347904716,0.0315773084613064
2008,0.359074565409955,0.331127151230319,0.0345832607002659,0.0279474141796196,0.0272775590343827
2009,0.379532721808592,0.33570357521318,0.029511218203993,0.0438291465954012,0.0285701104529921
2014,0.341124429229296,0.313574558210109,0.0283488802828676,0.0275498710191391,0.0290748654352251
