quantiles,structral_effect,composition_effect,total_effect,marginal_counterfactual
0.1,0.109577395787162,0.135921213173074,0.245498608960236,3.20095930965426
0.2,0.127425711696563,0.0833396897460195,0.210765401442582,3.31315303618604
0.3,0.141441877290727,0.0619345527471928,0.20337643003792,3.40794873315309
0.4,0.153774573824558,0.0519952126541856,0.205769786478744,3.49437987308599
0.5,0.164219981330436,0.0473500370794904,0.211570018409927,3.57738563748435
0.6,0.173954952134812,0.046596374551501,0.220551326686313,3.66102331425184
0.7,0.184261983476847,0.0481628953381428,0.23242487881499,3.75004435772147
0.8,0.199476882162598,0.0543973241999787,0.253874206362577,3.85345057343388
0.9,0.237158364971732,0.0904164322145924,0.327574797186324,4.02889191770564
