file,data,user,system,elapsed
003_qob_raceskill_12_onepc.RData,2018-12-19,29416.195,30.056,29467.008
003_qob_raceskill_13_onepc.RData,2018-12-19,1713.56100000005,0.00200000000006639,1714.766
002_net_qob_genderskill_01_onepc.RData,2018-12-21,110556.488,110.368,110735.79
002_net_qob_genderskill_02_onepc.RData,2018-12-21,70239.2810000001,240.839,70526.628
002_net_qob_genderskill_03_onepc.RData,2018-12-21,4695.973,0.0420000000001437,4699.31400000001
002_net_qob_genderskill_11_onepc.RData,2018-12-22,21009.2250000001,3.05399999999986,21024.7819999999
002_net_qob_genderskill_12_onepc.RData,2018-12-22,46287.907,85.867,46410.719
002_net_qob_genderskill_13_onepc.RData,2018-12-22,8318.32299999998,0.0239999999998872,8325.23499999999
002_net_qob_genderskill_01_onepc.RData,2018-12-22,113948.918,121.617,114146.575
003_net_qob_raceskill_01_onepc.RData,2018-12-23,77120.728,80.924,77251.722
002_net_qob_genderskill_02_onepc.RData,2018-12-23,70751.746,32.028,70830.939
002_net_qob_genderskill_03_onepc.RData,2018-12-23,4785.54500000001,0.00300000000001432,4788.45199999999
002_net_qob_genderskill_11_onepc.RData,2018-12-24,20899.915,0.00999999999999091,20915.998
002_net_qob_genderskill_12_onepc.RData,2018-12-24,45165.103,13.631,45212.039
002_net_qob_genderskill_13_onepc.RData,2018-12-24,8174.51700000002,0.00499999999999545,8178.87700000004
003_net_qob_raceskill_01_onepc.RData,2018-12-25,76759.673,86.638,76893.888
003_net_qob_raceskill_02_onepc.RData,2018-12-26,88338.318,68.319,88461.162
003_net_qob_raceskill_03_onepc.RData,2018-12-26,14385.246,0.0010000000000332,14393.658
003_net_qob_raceskill_11_onepc.RData,2018-12-27,38088.9,4.36399999999998,38116.429
003_net_qob_raceskill_12_onepc.RData,2018-12-27,33530.228,0.18199999999996,33550.8039999999
003_net_qob_raceskill_13_onepc.RData,2018-12-27,1907.13800000004,0.00200000000000955,1908.49699999997
002_qob_onepc.RData,2019-01-23,2262472.388,517.524,2266176.289
002_net_qob_onepc.RData,2019-02-16,2063745.597,1617.623,2069273.116
